kode_provinsi,nama_provinsi,tahun,jenis_rabies,jumlah_kasus_rabies,orderer
11,"Prov. Nanggroe Aceh Darussalam",2010,"GHPR",524,1
11,"Prov. Nanggroe Aceh Darussalam",2010,"VAR",471,2
11,"Prov. Nanggroe Aceh Darussalam",2010,"LYSSA",0,3
11,"Prov. Nanggroe Aceh Darussalam",2011,"GHPR",280,1
11,"Prov. Nanggroe Aceh Darussalam",2011,"VAR",184,2
11,"Prov. Nanggroe Aceh Darussalam",2011,"LYSSA",0,3
11,"Prov. Nanggroe Aceh Darussalam",2012,"GHPR",138,1
11,"Prov. Nanggroe Aceh Darussalam",2012,"VAR",103,2
11,"Prov. Nanggroe Aceh Darussalam",2012,"LYSSA",0,3
12,"Prov. Sumatera Utara",2010,"GHPR",3714,1
12,"Prov. Sumatera Utara",2010,"VAR",2848,2
12,"Prov. Sumatera Utara",2010,"LYSSA",35,3
12,"Prov. Sumatera Utara",2011,"GHPR",3909,1
12,"Prov. Sumatera Utara",2011,"VAR",2745,2
12,"Prov. Sumatera Utara",2011,"LYSSA",31,3
12,"Prov. Sumatera Utara",2012,"GHPR",4563,1
12,"Prov. Sumatera Utara",2012,"VAR",3816,2
12,"Prov. Sumatera Utara",2012,"LYSSA",18,3
13,"Prov. Sumatera Barat",2010,"GHPR",858,1
13,"Prov. Sumatera Barat",2010,"VAR",514,2
13,"Prov. Sumatera Barat",2010,"LYSSA",5,3
13,"Prov. Sumatera Barat",2011,"GHPR",2586,1
13,"Prov. Sumatera Barat",2011,"VAR",1923,2
13,"Prov. Sumatera Barat",2011,"LYSSA",7,3
13,"Prov. Sumatera Barat",2012,"GHPR",2606,1
13,"Prov. Sumatera Barat",2012,"VAR",1975,2
13,"Prov. Sumatera Barat",2012,"LYSSA",14,3
14,"Prov. Riau",2010,"GHPR",1293,1
14,"Prov. Riau",2010,"VAR",1082,2
14,"Prov. Riau",2010,"LYSSA",2,3
14,"Prov. Riau",2011,"GHPR",930,1
14,"Prov. Riau",2011,"VAR",698,2
14,"Prov. Riau",2011,"LYSSA",6,3
14,"Prov. Riau",2012,"GHPR",1500,1
14,"Prov. Riau",2012,"VAR",1252,2
14,"Prov. Riau",2012,"LYSSA",0,3
15,"Prov. Jambi",2010,"GHPR",704,1
15,"Prov. Jambi",2010,"VAR",475,2
15,"Prov. Jambi",2010,"LYSSA",3,3
15,"Prov. Jambi",2011,"GHPR",764,1
15,"Prov. Jambi",2011,"VAR",555,2
15,"Prov. Jambi",2011,"LYSSA",0,3
15,"Prov. Jambi",2012,"GHPR",0,1
15,"Prov. Jambi",2012,"VAR",0,2
15,"Prov. Jambi",2012,"LYSSA",0,3
16,"Prov. Sumatera Selatan",2010,"GHPR",144,1
